date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:34:37	23737/23737	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202025%2006:34:36%20GMT	https://irishaidfellowships.ddev.site/colleges	/home/dan/weby/static/iaf/colleges.html	(from https://irishaidfellowships.ddev.site/)
07:34:38	21782/21782	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202025%2006:34:37%20GMT	https://irishaidfellowships.ddev.site/country-partners	/home/dan/weby/static/iaf/country-partners.html	(from https://irishaidfellowships.ddev.site/)
07:34:39	28615/28615	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202025%2006:34:38%20GMT	https://irishaidfellowships.ddev.site/contact	/home/dan/weby/static/iaf/contact.html	(from https://irishaidfellowships.ddev.site/)
07:34:40	30248/30248	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202025%2006:34:39%20GMT	https://irishaidfellowships.ddev.site/2018-fellows-welcomed-ireland	/home/dan/weby/static/iaf/2018-fellows-welcomed-ireland.html	(from https://irishaidfellowships.ddev.site/)
07:34:41	583949/583949	---M--	200	added ('OK')	image/png	etag:%225cb5e585-8e90d%22	https://irishaidfellowships.ddev.site/sites/default/files/styles/slider_image/public/images/blocks/sliders/iaf_with_ruairi_de_burca3-crop.png?itok=1ah1SSJG	/home/dan/weby/static/iaf/sites/default/files/styles/slider_image/public/images/blocks/sliders/iaf_with_ruairi_de_burca3-cropeff6.png	(from https://irishaidfellowships.ddev.site/)
07:34:42	428312/428312	---M--	200	added ('OK')	image/png	etag:%2266980ddc-68918%22	https://irishaidfellowships.ddev.site/sites/default/files/styles/slider_image/public/images/blocks/sliders/file.png?itok=WF2nsS2s	/home/dan/weby/static/iaf/sites/default/files/styles/slider_image/public/images/blocks/sliders/file57f8.png	(from https://irishaidfellowships.ddev.site/)
07:34:43	529158/529158	---M--	200	added ('OK')	image/png	etag:%22667c1b40-81306%22	https://irishaidfellowships.ddev.site/sites/default/files/styles/slider_image/public/images/blocks/sliders/gedc0234.png?itok=pH5eY23T	/home/dan/weby/static/iaf/sites/default/files/styles/slider_image/public/images/blocks/sliders/gedc02341a51.png	(from https://irishaidfellowships.ddev.site/)
07:34:44	346004/346004	---M--	200	added ('OK')	image/png	etag:%22667c2178-54794%22	https://irishaidfellowships.ddev.site/sites/default/files/styles/slider_image/public/images/blocks/sliders/instagram_irelandfellows.png?itok=AT-fDbmT	/home/dan/weby/static/iaf/sites/default/files/styles/slider_image/public/images/blocks/sliders/instagram_irelandfellowsc67b.png	(from https://irishaidfellowships.ddev.site/)
07:34:45	69063/69063	---M--	200	added ('OK')	image/jpeg	etag:%226357e651-10dc7%22	https://irishaidfellowships.ddev.site/sites/default/files/styles/slider_image/public/images/blocks/sliders/group.jpeg?itok=XLbndTnY	/home/dan/weby/static/iaf/sites/default/files/styles/slider_image/public/images/blocks/sliders/group9d4f.jpg	(from https://irishaidfellowships.ddev.site/)
07:34:46	62218/62218	---M--	200	added ('OK')	image/jpeg	etag:%226357ec18-f30a%22	https://irishaidfellowships.ddev.site/sites/default/files/styles/slider_image/public/images/blocks/sliders/nigeria_2.jpeg?itok=k-DW13JA	/home/dan/weby/static/iaf/sites/default/files/styles/slider_image/public/images/blocks/sliders/nigeria_263a4.jpg	(from https://irishaidfellowships.ddev.site/)
07:34:47	70550/70550	---M--	200	added ('OK')	image/jpeg	etag:%226357ec6c-11396%22	https://irishaidfellowships.ddev.site/sites/default/files/styles/slider_image/public/images/blocks/sliders/zambia_2.jpeg?itok=G61kkuet	/home/dan/weby/static/iaf/sites/default/files/styles/slider_image/public/images/blocks/sliders/zambia_2b3b5.jpg	(from https://irishaidfellowships.ddev.site/)
